participant;level;emoji;image;target_emotion;model_probability;label_1;label_2;label_3;success_labeler_1;success_labeler_2;success_labeler_3;agreement;include_in_dataset
1;3;2;1700479242607.png;Anger;0.2484;Disgust;Anger;Sadness;0;1;0;1;0
1;3;3;1700479243878.png;Surprise;0.9647;Surprise;Surprise;Surprise;1;1;1;3;1
1;3;4;1700479245714.png;Happiness;0.9756;Happiness;Happiness;Happiness;1;1;1;3;1
1;3;5;1700479248151.png;Fear;0.9072;Surprise;Fear;Fear;0;1;1;2;1
1;3;6;1700479250572.png;Sadness;0.7413;Disgust;Sadness;Sadness;0;1;1;2;1
1;3;7;1700479252607.png;Sadness;0.8462;Sadness;Sadness;Sadness;1;1;1;3;1
1;3;8;1700479253441.png;Anger;0.4169;Neutral;Anger;Anger;0;1;1;2;1
1;3;9;1700479256407.png;Disgust;0.8405;Surprise;Disgust;Disgust;0;1;1;2;1
1;3;10;1700479258342.png;Anger;0.4556;Anger;Anger;Anger;1;1;1;3;1
1;3;11;1700479260806.png;Happiness;0.9854;Happiness;Happiness;Happiness;1;1;1;3;1
1;3;12;1700479262241.png;Neutral;0.4445;Happiness;Neutral;Neutral;0;1;1;2;1
1;3;13;1700479264139.png;Surprise;0.9011;Surprise;Surprise;Surprise;1;1;1;3;1
1;3;14;1700479265444.png;Neutral;0.4287;Neutral;Neutral;Neutral;1;1;1;3;1
1;3;15;1700479268078.png;Sadness;0.7078;Happiness;Fear;Neutral;0;0;0;0;0
1;3;16;1700479269870.png;Fear;0.1037;Surprise;Surprise;Surprise;0;0;0;0;0
1;3;17;1700479271974.png;Happiness;0.9838;Happiness;Happiness;Happiness;1;1;1;3;1
1;3;18;1700479274174.png;Disgust;0.9317;Disgust;Disgust;Fear;1;1;0;2;1
1;3;19;1700479276498.png;Surprise;0.9553;Surprise;Surprise;Surprise;1;1;1;3;1
1;3;20;1700479278671.png;Fear;0.9294;Fear;Fear;Fear;1;1;1;3;1
1;4;0;1700479411435.png;Disgust;0.7339;Disgust;Disgust;Fear;1;1;0;2;1
1;4;1;1700479413527.png;Sadness;0.7596;Sadness;Sadness;Sadness;1;1;1;3;1
1;4;2;1700479415611.png;Neutral;0.465;Neutral;Neutral;Neutral;1;1;1;3;1
1;4;3;1700479417615.png;Surprise;0.9308;Surprise;Surprise;Surprise;1;1;1;3;1
1;4;4;1700479418456.png;Neutral;0.4681;Happiness;Happiness;Neutral;0;0;1;1;0
1;4;5;1700479420641.png;Neutral;0.5704;Neutral;Neutral;Neutral;1;1;1;3;1
1;4;6;1700479422411.png;Happiness;0.9264;Happiness;Happiness;Happiness;1;1;1;3;1
1;4;7;1700479424021.png;Anger;0.4108;Anger;Anger;Anger;1;1;1;3;1
1;4;8;1700479426367.png;Sadness;0.8751;Sadness;Sadness;Sadness;1;1;1;3;1
1;4;9;1700479427742.png;Fear;0.9044;Surprise;Fear;Fear;0;1;1;2;1
1;4;10;1700479429624.png;Anger;0.2822;Sadness;Anger;Sadness;0;1;0;1;0
1;4;11;1700479431653.png;Happiness;0.9805;Happiness;Happiness;Happiness;1;1;1;3;1
1;4;12;1700479432977.png;Disgust;0.8913;Disgust;Disgust;Disgust;1;1;1;3;1
1;4;13;1700479435090.png;Happiness;0.9833;Happiness;Happiness;Happiness;1;1;1;3;1
1;4;14;1700479436807.png;Anger;0.3674;Sadness;Anger;Sadness;0;1;0;1;0
1;4;15;1700479438658.png;Disgust;0.9621;Disgust;Disgust;Disgust;1;1;1;3;1
1;4;16;1700479440300.png;Fear;0.4069;Surprise;Surprise;Surprise;0;0;0;0;0
1;4;17;1700479442178.png;Sadness;0.8156;Sadness;Sadness;Sadness;1;1;1;3;1
1;4;18;1700479443460.png;Neutral;0.4656;Happiness;Neutral;Happiness;0;1;0;1;0
1;4;19;1700479445256.png;Surprise;0.9371;Surprise;Surprise;Surprise;1;1;1;3;1
1;4;20;1700479447373.png;Sadness;0.9497;Sadness;Sadness;Sadness;1;1;1;3;1
1;4;21;1700479448890.png;Surprise;0.9345;Surprise;Surprise;Surprise;1;1;1;3;1
1;4;22;1700479449976.png;Anger;0.2199;Anger;Happiness;Neutral;1;0;0;1;0
1;4;23;1700479452800.png;Fear;0.6041;Fear;Fear;Fear;1;1;1;3;1
1;4;24;1700479454456.png;Happiness;0.6362;Happiness;Happiness;Happiness;1;1;1;3;1
1;4;25;1700479455532.png;Fear;0.598;Neutral;Neutral;Fear;0;0;1;1;0
1;4;26;1700479457287.png;Disgust;0.9046;Disgust;Disgust;Fear;1;1;0;2;1
1;4;27;1700479459026.png;Surprise;0.9008;Surprise;Surprise;Surprise;1;1;1;3;1
2;1;0;1700485976475.png;Anger;0.5344;Sadness;Sadness;Anger;0;0;1;1;0
2;1;1;1700485979873.png;Sadness;0.3388;Sadness;Sadness;Sadness;1;1;1;3;1
2;1;2;1700485981988.png;Happiness;0.9787;Happiness;Happiness;Happiness;1;1;1;3;1
2;1;3;1700485984070.png;Anger;0.5736;Anger;Anger;Anger;1;1;1;3;1
2;1;4;1700485986655.png;Anger;0.5831;Anger;Anger;Anger;1;1;1;3;1
2;1;5;1700485989602.png;Sadness;0.3472;Sadness;Sadness;Sadness;1;1;1;3;1
2;1;6;1700485991927.png;Happiness;0.9649;Happiness;Happiness;Happiness;1;1;1;3;1
2;1;7;1700485994642.png;Sadness;0.3173;Sadness;Anger;Anger;1;0;0;1;0
2;1;8;1700485997219.png;Happiness;0.8799;Happiness;Happiness;Happiness;1;1;1;3;1
2;2;0;1700486071119.png;Neutral;0.5081;Neutral;Neutral;Neutral;1;1;1;3;1
2;2;1;1700486073568.png;Disgust;0.6661;Disgust;Disgust;Disgust;1;1;1;3;1
2;2;2;1700486076352.png;Surprise;0.8983;Surprise;Surprise;Surprise;1;1;1;3;1
2;2;3;1700486078218.png;Fear;0.0251;Neutral;Neutral;Neutral;0;0;0;0;0
2;2;4;1700486081556.png;Disgust;0.8514;Disgust;Disgust;Disgust;1;1;1;3;1
2;2;5;1700486083662.png;Disgust;0.864;Disgust;Disgust;Disgust;1;1;1;3;1
2;2;6;1700486085959.png;Fear;0.4276;Surprise;Surprise;Fear;0;0;1;1;0
2;2;7;1700486089327.png;Neutral;0.4498;Neutral;Neutral;Neutral;1;1;1;3;1
2;2;8;1700486090956.png;Surprise;0.8636;Surprise;Surprise;Surprise;1;1;1;3;1
2;2;9;1700486093754.png;Surprise;0.8552;Surprise;Surprise;Surprise;1;1;1;3;1
2;2;10;1700486096508.png;Fear;0.5932;Surprise;Fear;Fear;0;1;1;2;1
2;2;11;1700486098069.png;Neutral;0.4747;Neutral;Neutral;Neutral;1;1;1;3;1
2;3;0;1700486189967.png;Neutral;0.5188;Neutral;Neutral;Neutral;1;1;1;3;1
2;3;1;1700486192396.png;Disgust;0.7575;Disgust;Disgust;Disgust;1;1;1;3;1
2;3;2;1700486194530.png;Anger;0.5417;Sadness;Anger;Anger;0;1;1;2;1
2;3;3;1700486196174.png;Surprise;0.9387;Surprise;Fear;Surprise;1;0;1;2;1
2;3;4;1700486198360.png;Happiness;0.9549;Happiness;Happiness;Happiness;1;1;1;3;1
2;3;5;1700486200867.png;Fear;0.5603;Surprise;Fear;Fear;0;1;1;2;1
2;3;6;1700486202703.png;Sadness;0.2971;Sadness;Sadness;Sadness;1;1;1;3;1
2;3;7;1700486203970.png;Sadness;0.3919;Sadness;Sadness;Sadness;1;1;1;3;1
2;3;8;1700486206530.png;Anger;0.4308;Sadness;Anger;Anger;0;1;1;2;1
2;3;9;1700486208664.png;Disgust;0.8423;Disgust;Disgust;Disgust;1;1;1;3;1
2;3;10;1700486210764.png;Anger;0.5333;Anger;Anger;Anger;1;1;1;3;1
2;3;11;1700486212728.png;Happiness;0.9789;Happiness;Happiness;Happiness;1;1;1;3;1
2;3;12;1700486214030.png;Neutral;0.4865;Neutral;Neutral;Neutral;1;1;1;3;1
2;3;13;1700486216892.png;Surprise;0.8797;Surprise;Surprise;Surprise;1;1;1;3;1
2;3;14;1700486217864.png;Neutral;0.4506;Neutral;Neutral;Neutral;1;1;1;3;1
2;3;15;1700486220495.png;Sadness;0.2596;Sadness;Sadness;Sadness;1;1;1;3;1
2;3;16;1700486222597.png;Fear;0.6459;Surprise;Fear;Fear;0;1;1;2;1
2;3;17;1700486224796.png;Happiness;0.9208;Happiness;Happiness;Happiness;1;1;1;3;1
2;3;18;1700486226762.png;Disgust;0.9139;Disgust;Disgust;Disgust;1;1;1;3;1
2;3;19;1700486228292.png;Surprise;0.8788;Surprise;Surprise;Surprise;1;1;1;3;1
2;3;20;1700486230297.png;Fear;0.5266;Surprise;Fear;Fear;0;1;1;2;1
2;4;0;1700486361862.png;Disgust;0.8865;Disgust;Disgust;Disgust;1;1;1;3;1
2;4;1;1700486364234.png;Sadness;0.3466;Sadness;Sadness;Sadness;1;1;1;3;1
2;4;2;1700486365073.png;Neutral;0.4937;Neutral;Neutral;Neutral;1;1;1;3;1
2;4;3;1700486367426.png;Surprise;0.861;Surprise;Surprise;Surprise;1;1;1;3;1
2;4;4;1700486369305.png;Neutral;0.4811;Neutral;Neutral;Neutral;1;1;1;3;1
2;4;5;1700486370761.png;Neutral;0.5267;Neutral;Neutral;Neutral;1;1;1;3;1
2;4;6;1700486372493.png;Happiness;0.9825;Happiness;Happiness;Happiness;1;1;1;3;1
2;4;7;1700486374506.png;Anger;0.4761;Anger;Anger;Anger;1;1;1;3;1
2;4;8;1700486376407.png;Sadness;0.2843;Sadness;Sadness;Sadness;1;1;1;3;1
2;4;9;1700486377855.png;Fear;0.6041;Surprise;Fear;Fear;0;1;1;2;1
2;4;10;1700486379426.png;Anger;0.5124;Sadness;Anger;Sadness;0;1;0;1;0
2;4;11;1700486381822.png;Happiness;0.9057;Happiness;Happiness;Happiness;1;1;1;3;1
2;4;12;1700486383298.png;Disgust;0.2657;Fear;Disgust;Disgust;0;1;1;2;1
2;4;13;1700486385344.png;Happiness;0.9747;Happiness;Happiness;Happiness;1;1;1;3;1
2;4;14;1700486387051.png;Anger;0.4898;Anger;Sadness;Anger;1;0;1;2;1
2;4;15;1700486388492.png;Disgust;0.8712;Disgust;Disgust;Disgust;1;1;1;3;1
2;4;16;1700486389926.png;Fear;0.332;Surprise;Fear;Fear;0;1;1;2;1
2;4;17;1700486391891.png;Sadness;0.3052;Sadness;Sadness;Sadness;1;1;1;3;1
2;4;18;1700486394029.png;Neutral;0.4246;Neutral;Neutral;Neutral;1;1;1;3;1
2;4;19;1700486395366.png;Surprise;0.8678;Surprise;Surprise;Surprise;1;1;1;3;1
2;4;20;1700486396928.png;Sadness;0.2976;Sadness;Sadness;Sadness;1;1;1;3;1
2;4;21;1700486399431.png;Surprise;0.9027;Surprise;Surprise;Surprise;1;1;1;3;1
2;4;22;1700486401119.png;Anger;0.4455;Anger;Anger;Anger;1;1;1;3;1
2;4;23;1700486402581.png;Fear;0.6695;Surprise;Fear;Fear;0;1;1;2;1
2;4;24;1700486404513.png;Happiness;0.9747;Happiness;Happiness;Happiness;1;1;1;3;1
2;4;25;1700486406088.png;Fear;0.0414;Sadness;Sadness;Sadness;0;0;0;0;0
2;4;26;1700486408066.png;Disgust;0.4315;Fear;Disgust;Fear;0;1;0;1;0
2;4;27;1700486409959.png;Surprise;0.7038;Surprise;Surprise;Surprise;1;1;1;3;1
3;1;0;1700487866802.png;Anger;0.3326;Anger;Anger;Anger;1;1;1;3;1
3;1;1;1700487868986.png;Sadness;0.2862;Sadness;Sadness;Sadness;1;1;1;3;1
3;1;2;1700487871181.png;Happiness;0.7857;Happiness;Happiness;Happiness;1;1;1;3;1
3;1;3;1700487874060.png;Anger;0.3852;Sadness;Sadness;Anger;0;0;1;1;0
3;1;4;1700487876170.png;Anger;0.1757;Neutral;Neutral;Neutral;0;0;0;0;0
3;1;5;1700487879248.png;Sadness;0.358;Sadness;Sadness;Sadness;1;1;1;3;1
3;1;6;1700487882143.png;Happiness;0.7387;Happiness;Happiness;Happiness;1;1;1;3;1
3;1;7;1700487884247.png;Sadness;0.2783;Sadness;Sadness;Anger;1;1;0;2;1
3;1;8;1700487887156.png;Happiness;0.9521;Happiness;Happiness;Happiness;1;1;1;3;1
3;2;0;1700487951646.png;Neutral;0.6616;Neutral;Neutral;Neutral;1;1;1;3;1
3;2;1;1700487954677.png;Disgust;0.8425;Disgust;Anger;Anger;1;0;0;1;0
3;2;2;1700487957572.png;Surprise;0.8642;Surprise;Surprise;Surprise;1;1;1;3;1
3;2;3;1700487960368.png;Fear;0.617;Fear;Fear;Fear;1;1;1;3;1
3;2;4;1700487963017.png;Disgust;0.9218;Disgust;Disgust;Disgust;1;1;1;3;1
3;2;5;1700487965688.png;Disgust;0.8318;Fear;Fear;Disgust;0;0;1;1;0
3;2;6;1700487967722.png;Fear;0.0347;Surprise;Surprise;Surprise;0;0;0;0;0
3;2;7;1700487970576.png;Neutral;0.6448;Neutral;Neutral;Neutral;1;1;1;3;1
3;2;8;1700487972719.png;Surprise;0.8429;Surprise;Surprise;Surprise;1;1;1;3;1
3;2;9;1700487975578.png;Surprise;0.8164;Surprise;Fear;Surprise;1;0;1;2;1
3;2;10;1700487977854.png;Fear;0.066;Fear;Disgust;Fear;1;0;1;2;1
3;2;11;1700487979833.png;Neutral;0.5556;Neutral;Neutral;Neutral;1;1;1;3;1
3;3;0;1700488074680.png;Neutral;0.6636;Neutral;Neutral;Neutral;1;1;1;3;1
3;3;1;1700488075545.png;Disgust;0.896;Sadness;Anger;Disgust;0;0;1;1;0
3;3;2;1700488077479.png;Anger;0.3594;Sadness;Sadness;Anger;0;0;1;1;0
3;3;3;1700488080041.png;Surprise;0.8211;Surprise;Surprise;Surprise;1;1;1;3;1
3;3;4;1700488081973.png;Happiness;0.7062;Happiness;Neutral;Happiness;1;0;1;2;1
3;3;5;1700488084172.png;Fear;0.0088;Sadness;Sadness;Sadness;0;0;0;0;0
3;3;6;1700488086375.png;Sadness;0.3329;Sadness;Sadness;Anger;1;1;0;2;1
3;3;7;1700488088436.png;Sadness;0.2683;Sadness;Sadness;Sadness;1;1;1;3;1
3;3;8;1700488090511.png;Anger;0.312;Anger;Anger;Anger;1;1;1;3;1
3;3;9;1700488092770.png;Disgust;0.8769;Fear;Disgust;Disgust;0;1;1;2;1
3;3;10;1700488093403.png;Anger;0.3181;Sadness;Sadness;Anger;0;0;1;1;0
3;3;11;1700488095341.png;Happiness;0.7862;Happiness;Neutral;Happiness;1;0;1;2;1
3;3;12;1700488097764.png;Neutral;0.5665;Neutral;Happiness;Neutral;1;0;1;2;1
3;3;13;1700488099575.png;Surprise;0.5179;Surprise;Surprise;Surprise;1;1;1;3;1
3;3;14;1700488102830.png;Neutral;0.5481;Neutral;Neutral;Neutral;1;1;1;3;1
3;3;15;1700488104571.png;Sadness;0.236;Anger;Anger;Anger;0;0;0;0;0
3;3;16;1700488106464.png;Fear;0.1465;Surprise;Fear;Fear;0;1;1;2;1
3;3;17;1700488108469.png;Happiness;0.8116;Happiness;Happiness;Happiness;1;1;1;3;1
3;3;18;1700488110403.png;Disgust;0.8751;Disgust;Anger;Anger;1;0;0;1;0
3;3;19;1700488111962.png;Surprise;0.6849;Surprise;Surprise;Surprise;1;1;1;3;1
3;3;20;1700488114760.png;Fear;0.0747;Surprise;Fear;Fear;0;1;1;2;1
3;4;0;1700488251925.png;Disgust;0.8266;Disgust;Anger;Disgust;1;0;1;2;1
3;4;1;1700488253631.png;Sadness;0.3177;Sadness;Sadness;Anger;1;1;0;2;1
3;4;2;1700488255547.png;Neutral;0.6303;Neutral;Neutral;Neutral;1;1;1;3;1
3;4;3;1700488256888.png;Surprise;0.7205;Surprise;Surprise;Surprise;1;1;1;3;1
3;4;4;1700488259081.png;Neutral;0.5934;Neutral;Neutral;Neutral;1;1;1;3;1
3;4;5;1700488260871.png;Neutral;0.6393;Neutral;Neutral;Neutral;1;1;1;3;1
3;4;6;1700488262097.png;Happiness;0.4213;Neutral;Neutral;Neutral;0;0;0;0;0
3;4;7;1700488263446.png;Anger;0.3016;Anger;Sadness;Sadness;1;0;0;1;0
3;4;8;1700488265872.png;Sadness;0.2376;Anger;Anger;Anger;0;0;0;0;0
3;4;9;1700488267804.png;Fear;0.0185;Sadness;Disgust;Disgust;0;0;0;0;0
3;4;10;1700488269575.png;Anger;0.4058;Sadness;Sadness;Anger;0;0;1;1;0
3;4;11;1700488271464.png;Happiness;0.6702;Happiness;Happiness;Happiness;1;1;1;3;1
3;4;12;1700488273233.png;Disgust;0.8216;Surprise;Disgust;Disgust;0;1;1;2;1
3;4;13;1700488274752.png;Happiness;0.8244;Happiness;Happiness;Happiness;1;1;1;3;1
3;4;14;1700488276573.png;Anger;0.3465;Sadness;Sadness;Sadness;0;0;0;0;0
3;4;15;1700488278316.png;Disgust;0.5831;Fear;Fear;Disgust;0;0;1;1;0
3;4;16;1700488279985.png;Fear;0.0524;Fear;Neutral;Disgust;1;0;0;1;0
3;4;17;1700488281821.png;Sadness;0.4788;Sadness;Sadness;Sadness;1;1;1;3;1
3;4;18;1700488283344.png;Neutral;0.6382;Neutral;Neutral;Neutral;1;1;1;3;1
3;4;19;1700488285207.png;Surprise;0.403;Surprise;Surprise;Surprise;1;1;1;3;1
3;4;20;1700488287195.png;Sadness;0.3056;Sadness;Sadness;Sadness;1;1;1;3;1
3;4;21;1700488288826.png;Surprise;0.815;Surprise;Surprise;Fear;1;1;0;2;1
3;4;22;1700488290802.png;Anger;0.3538;Sadness;Anger;Sadness;0;1;0;1;0
3;4;23;1700488292404.png;Fear;0.0753;Fear;Fear;Fear;1;1;1;3;1
3;4;24;1700488293420.png;Happiness;0.6483;Happiness;Happiness;Happiness;1;1;1;3;1
3;4;25;1700488295815.png;Fear;0.0399;Surprise;Surprise;Fear;0;0;1;1;0
3;4;26;1700488296789.png;Disgust;0.5515;Surprise;Fear;Fear;0;0;0;0;0
3;4;27;1700488299585.png;Surprise;0.7003;Surprise;Surprise;Surprise;1;1;1;3;1
4;1;0;1700489635222.png;Anger;0.2785;Neutral;Neutral;Anger;0;0;1;1;0
4;1;1;1700489636544.png;Sadness;0.6656;Sadness;Sadness;Sadness;1;1;1;3;1
4;1;2;1700489639217.png;Happiness;0.3251;Happiness;Happiness;Happiness;1;1;1;3;1
4;1;3;1700489641802.png;Anger;0.3115;Sadness;Anger;Anger;0;1;1;2;1
4;1;4;1700489643685.png;Anger;0.2537;Neutral;Neutral;Neutral;0;0;0;0;0
4;1;5;1700489647471.png;Sadness;0.583;Sadness;Sadness;Sadness;1;1;1;3;1
4;1;6;1700489650155.png;Happiness;0.6418;Happiness;Happiness;Happiness;1;1;1;3;1
4;1;7;1700489652694.png;Sadness;0.4147;Sadness;Sadness;Sadness;1;1;1;3;1
4;1;8;1700489654363.png;Happiness;0.6801;Happiness;Happiness;Happiness;1;1;1;3;1
4;2;0;1700489722123.png;Neutral;0.4339;Neutral;Neutral;Neutral;1;1;1;3;1
4;2;1;1700489724732.png;Disgust;0.7304;Disgust;Disgust;Disgust;1;1;1;3;1
4;2;2;1700489726643.png;Surprise;0.5738;Surprise;Surprise;Surprise;1;1;1;3;1
4;2;3;1700489728898.png;Fear;0.0268;Neutral;Fear;Fear;0;1;1;2;1
4;2;4;1700489731698.png;Disgust;0.8164;Fear;Surprise;Fear;0;0;0;0;0
4;2;5;1700489734119.png;Disgust;0.75;Disgust;Disgust;Disgust;1;1;1;3;1
4;2;6;1700489736490.png;Fear;0.037;Surprise;Surprise;Neutral;0;0;0;0;0
4;2;7;1700489738660.png;Neutral;0.4061;Neutral;Neutral;Neutral;1;1;1;3;1
4;2;8;1700489742765.png;Surprise;0.5916;Surprise;Surprise;Surprise;1;1;1;3;1
4;2;9;1700489744855.png;Surprise;0.4108;Surprise;Surprise;Surprise;1;1;1;3;1
4;2;10;1700489747611.png;Fear;0.2239;Surprise;Fear;Fear;0;1;1;2;1
4;2;11;1700489749081.png;Neutral;0.4632;Neutral;Neutral;Neutral;1;1;1;3;1
4;3;0;1700489855983.png;Neutral;0.4489;Neutral;Neutral;Neutral;1;1;1;3;1
4;3;1;1700489858468.png;Disgust;0.5151;Disgust;Disgust;Disgust;1;1;1;3;1
4;3;2;1700489860330.png;Anger;0.3451;Anger;Anger;Anger;1;1;1;3;1
4;3;3;1700489862366.png;Surprise;0.6638;Surprise;Surprise;Surprise;1;1;1;3;1
4;3;4;1700489863634.png;Happiness;0.6052;Happiness;Happiness;Happiness;1;1;1;3;1
4;3;5;1700489865682.png;Fear;0.0453;Surprise;Fear;Fear;0;1;1;2;1
4;3;6;1700489867325.png;Sadness;0.5723;Sadness;Sadness;Sadness;1;1;1;3;1
4;3;7;1700489870288.png;Sadness;0.4571;Sadness;Sadness;Sadness;1;1;1;3;1
4;3;8;1700489872365.png;Anger;0.4994;Anger;Anger;Anger;1;1;1;3;1
4;3;9;1700489873966.png;Disgust;0.4072;Disgust;Disgust;Disgust;1;1;1;3;1
4;3;10;1700489875595.png;Anger;0.3737;Anger;Anger;Anger;1;1;1;3;1
4;3;11;1700489877695.png;Happiness;0.6167;Happiness;Happiness;Happiness;1;1;1;3;1
4;3;12;1700489879925.png;Neutral;0.396;Neutral;Neutral;Neutral;1;1;1;3;1
4;3;13;1700489881498.png;Surprise;0.3529;Surprise;Surprise;Surprise;1;1;1;3;1
4;3;14;1700489883738.png;Neutral;0.4151;Sadness;Neutral;Neutral;0;1;1;2;1
4;3;15;1700489885562.png;Sadness;0.4317;Sadness;Sadness;Sadness;1;1;1;3;1
4;3;16;1700489888262.png;Fear;0.0462;Surprise;Fear;Fear;0;1;1;2;1
4;3;17;1700489889727.png;Happiness;0.6013;Happiness;Happiness;Happiness;1;1;1;3;1
4;3;18;1700489892426.png;Disgust;0.1781;Disgust;Disgust;Disgust;1;1;1;3;1
4;3;19;1700489894153.png;Surprise;0.4213;Surprise;Surprise;Surprise;1;1;1;3;1
4;3;20;1700489895557.png;Fear;0.0378;Disgust;Neutral;Fear;0;0;1;1;0
4;4;0;1700490042794.png;Disgust;0.4312;Disgust;Disgust;Disgust;1;1;1;3;1
4;4;1;1700490043467.png;Sadness;0.5078;Sadness;Sadness;Sadness;1;1;1;3;1
4;4;2;1700490046162.png;Neutral;0.3705;Sadness;Neutral;Neutral;0;1;1;2;1
4;4;3;1700490047789.png;Surprise;0.8073;Surprise;Surprise;Surprise;1;1;1;3;1
4;4;4;1700490049560.png;Neutral;0.416;Neutral;Neutral;Neutral;1;1;1;3;1
4;4;5;1700490050975.png;Neutral;0.4028;Neutral;Neutral;Neutral;1;1;1;3;1
4;4;6;1700490052802.png;Happiness;0.7567;Happiness;Happiness;Happiness;1;1;1;3;1
4;4;7;1700490054153.png;Anger;0.3237;Neutral;Anger;Neutral;0;1;0;1;0
4;4;8;1700490055922.png;Sadness;0.4264;Sadness;Sadness;Surprise;1;1;0;2;1
4;4;9;1700490058429.png;Fear;0.2617;Surprise;Fear;Fear;0;1;1;2;1
4;4;10;1700490059624.png;Anger;0.3626;Neutral;Neutral;Neutral;0;0;0;0;0
4;4;11;1700490061672.png;Happiness;0.7398;Happiness;Happiness;Happiness;1;1;1;3;1
4;4;12;1700490063437.png;Disgust;0.3956;Disgust;Disgust;Disgust;1;1;1;3;1
4;4;13;1700490065224.png;Happiness;0.7895;Happiness;Happiness;Happiness;1;1;1;3;1
4;4;14;1700490066629.png;Anger;0.2028;Neutral;Anger;Anger;0;1;1;2;1
4;4;15;1700490068842.png;Disgust;0.6576;Disgust;Disgust;Disgust;1;1;1;3;1
4;4;16;1700490069860.png;Fear;0.0438;Neutral;Neutral;Fear;0;0;1;1;0
4;4;17;1700490072127.png;Sadness;0.4383;Sadness;Sadness;Sadness;1;1;1;3;1
4;4;18;1700490074050.png;Neutral;0.3586;Neutral;Neutral;Neutral;1;1;1;3;1
4;4;19;1700490075897.png;Surprise;0.4587;Surprise;Surprise;Surprise;1;1;1;3;1
4;4;20;1700490076928.png;Sadness;0.4723;Sadness;Sadness;Sadness;1;1;1;3;1
4;4;21;1700490079381.png;Surprise;0.7142;Surprise;Surprise;Surprise;1;1;1;3;1
4;4;22;1700490080899.png;Anger;0.4303;Sadness;Anger;Anger;0;1;1;2;1
4;4;23;1700490082831.png;Fear;0.0518;Surprise;Fear;Fear;0;1;1;2;1
4;4;24;1700490084295.png;Happiness;0.3137;Happiness;Happiness;Happiness;1;1;1;3;1
4;4;25;1700490086566.png;Fear;0.0393;Surprise;Fear;Fear;0;1;1;2;1
4;4;26;1700490088390.png;Disgust;0.2993;Disgust;Disgust;Disgust;1;1;1;3;1
4;4;27;1700490090087.png;Surprise;0.7356;Surprise;Surprise;Surprise;1;1;1;3;1
5;1;0;1700491410885.png;Anger;0.538;Anger;Anger;Anger;1;1;1;3;1
5;1;1;1700491414884.png;Sadness;0.4562;Sadness;Sadness;Disgust;1;1;0;2;1
5;1;2;1700491416910.png;Happiness;0.9726;Happiness;Happiness;Happiness;1;1;1;3;1
5;1;3;1700491418662.png;Anger;0.421;Anger;Anger;Anger;1;1;1;3;1
5;1;4;1700491421297.png;Anger;0.2605;Neutral;Neutral;Neutral;0;0;0;0;0
5;1;5;1700491424133.png;Sadness;0.3323;Sadness;Sadness;Sadness;1;1;1;3;1
5;1;6;1700491426514.png;Happiness;0.9318;Happiness;Happiness;Happiness;1;1;1;3;1
5;1;7;1700491428678.png;Sadness;0.2253;Neutral;Surprise;Neutral;0;0;0;0;0
